artistName,resourceType,typeOfVideo,videoUrl,resourceId,title,description,commentCount,likeCount,dislikeCount,viewCount,channelId
2 Pistols,video,studio,https://www.youtube.com/watch?v=r-cbtCX8G08,r-cbtCX8G08,2 Pistols feat. Juicy J - Greedy (Official Video),Follow us on Twitter: https://twitter.com/Phase1Comm  Like us on Facebook: http://www.facebook.com/phaseonecommunications  Phase One Network is a company which specializes in Acquisition & Management of Intellectual Property with offices in New York City. As an aggressive entrepreneurial company- Phase One Network provides the attentive services of a boutique firm combined with the necessary resources to create all the elements and environments that are vital to increase the value- revenue and demand for any acquired assets.  Phase One Network does this through full or partial acquisitions and controlling asset revenue ventures. As a result- Phase One Network manages a portfolio of over 15-000 master recordings- copyrights of various styles of music- photo images and video from some of the greatest Artists- Producers and DJ's within the worlds of Urban/Hip Hop and Electronic Music.,9,349,12,65435,null
2 Pistols,video,live,https://www.youtube.com/watch?v=ZozhVN70C5c,ZozhVN70C5c,"2 Pistols ""She Got It"" Live in San Jose - Dub Show 2008","8/31/08 - 2 Pistols ""She Got It"" Live at Dub Show 2008 in San Jose.    All Dub Show videos taken from VIP Media pit directly in front of the stage     Other performers this year: Danity Kane- David Banner- Lloyd- Yung Berg- Holly Rae- Willy Northpole. Supreme Soul",7,14,1,5507,null
20 Fingers,video,studio,https://www.youtube.com/watch?v=boX2bqppQ_w,boX2bqppQ_w,20 Fingers-//-Short Dick man (Uncensored + LYRICS),Short dick Man Lyrics    Ah- ah- ah- ah ....  Don't want no short dick man  Don't want no short dick man  Don't want no short dick man  Don't want no short dick man    Don't don't don't don't don't don't  Don't don't don't don't  Don't want don't want don't want don't want  Don't want no short dick man  Don't want no short dick man    Iny weeny teeny weeny  Shriveled little short dick man  Don't want don't want don't want  Don't want don't want don't want  Don't want don't want don't want  Don't want don't want don't want  Don't want don't want don't want    What in the world is that thing?  Do you need some tweezers to put that little thing away  That has got to be the smallest dick  I've ever seen in my whole life  I have ever seen in my whole life  Get the fuck outta here    Iny weeny teeny weeny  Shriveled little short dick man  Don't want don't want don't want don't want  Don't want don't want don't want don't want  Don't want    Uh! Uh! Uh! ....  Isn't that cute an extra belly button  You need to put your pants back on honey    Don't don't don't don't don't don't  Don't don't don't don't  Don't want don't want don't want don't want  Don't want no short dick man  Don't want no short dick man    Iny wee iny wee ....  Iny weeny teeny weeny shrivled little short dick man,279,1469,109,425384,null
20 Fingers,video,live,https://www.youtube.com/watch?v=-JKs5H9DljU,#NAME?,20 Fingers feat. Roula - Lick It (Live At Dance Machine 6),20 Fingers feat. Roula - Lick It (Live At Dance Machine 6),85,875,46,802255,null
2Pac,video,studio,https://www.youtube.com/watch?v=41qC3w3UUkU,41qC3w3UUkU,2Pac - Hit 'Em Up (Dirty) (Official Video) HD,2Pac - Hit 'Em Up (Dirty) (Official Video) HD Subscribe To My Channel For More Rap Music !,9588,53696,2161,12220255,null
2Pac,video,live,https://www.youtube.com/watch?v=qHNhnzWEMuY,qHNhnzWEMuY,2Pac ft Jodeci - How Do U Want It (live),Pac,1767,10873,143,2214877,null
3 Doors Down,video,studio,https://www.youtube.com/watch?v=kPBzTxZQG5Q,kPBzTxZQG5Q,3 Doors Down - Here Without You,Music video by 3 Doors Down performing Here Without You. (C) 2002 Universal Records- a Division of UMG Recordings- Inc.,56861,601481,8618,146680055,null
3 Doors Down,video,live,https://www.youtube.com/watch?v=F_aeQMX0M0s,1UKtiDIQcUk,"3 Doors Down - When I'm Gone [Live] - 8.2.2013 - Indianapolis, IN","3 Doors Down - When I'm Gone [Live] - 8.2.2013 - Farm Bureau Insurance Lawn at White River State Park - Indianapolis, IN",8,186,11,47315,null
3LW,video,studio,https://www.youtube.com/watch?v=drvS9w-lTMc,drvS9w-lTMc,3LW - No More (Baby I'ma Do Right),Music video by 3LW performing No More (Baby I'ma Do Right). (C) 2000 SONY BMG MUSIC ENTERTAINMENT,5137,20245,459,8091783,null
3LW,video,live,https://www.youtube.com/watch?v=8px3XvpNJtU,8px3XvpNJtU,3LW- No More (Baby I'ma Do Right) Live @ MTV's TRL,"Kiely- Adrienne & Naturi Perform their Smash Hit ""No More""  Live @ MTV'S TRL in December 2000. *No Copyright Infringement intended* I Apologize for the quality of the video. It was the best that i could do. Enjoy!",44,95,4,32395,null
